,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
256,G22,0.063,0.106,0.893,0.936,0,0.001,0,0.002,0.084,0.916,0,0,27NM
257,G23,0,0.001,0.988,1,0,0.011,0,0.003,0,0.998,0.002,0,20NM
258,G24,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
259,G25,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,20NM
260,G26,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,20NM
261,G27,0,0.001,0.994,1,0,0.003,0,0.002,0,0.999,0,0,27NM
262,G28,0.031,0.065,0.934,0.968,0,0.001,0,0.003,0.047,0.952,0,0.001,27NM
263,G29,0.02,0.047,0.953,0.98,0,0.001,0,0.001,0.033,0.967,0,0,27NM
264,G3,0.994,1,0,0.004,0,0.001,0,0.001,0.999,0.001,0,0,16TX
265,G30,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,27NM
266,G31,0,0.001,0.997,1,0,0.001,0,0.002,0,1,0,0,21NM
267,G32,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,21NM
268,G33,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,21NM
269,G34,0.007,0.031,0.968,0.992,0,0.001,0,0.001,0.019,0.981,0,0,21NM
270,G35,0,0.001,0.848,0.947,0,0.001,0.053,0.152,0,0.901,0,0.099,20NM
271,G36,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,20NM
272,G37,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,20NM
273,G38,0,0.001,0.271,0.393,0,0.001,0.607,0.729,0,0.331,0,0.668,20NM
274,G39,0.022,0.061,0.937,0.977,0,0.002,0,0.003,0.04,0.959,0,0.001,21NM
275,G4,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
276,G40,0,0.001,0.889,0.957,0,0.001,0.043,0.111,0,0.925,0,0.074,21NM
277,G41_rep,0,0.001,0.968,0.993,0.006,0.031,0,0.001,0,0.981,0.018,0,21NM
278,G42,0,0.005,0.992,1,0,0.003,0,0.001,0.001,0.999,0,0,21NM
279,G43,0,0.001,0,0.01,0,0.001,0.989,1,0,0.001,0,0.998,15TX
280,G44,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,15TX
281,G45,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,15TX
282,G46,0,0.001,0,0.002,0,0.001,0.998,1,0,0,0,1,15TX
283,G47_rep,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,6KS
284,G48_rep,0,0.001,0.89,0.932,0.068,0.109,0,0.001,0,0.912,0.088,0,6KS
285,G49,0,0.01,0.983,1,0,0.005,0,0.012,0.001,0.997,0.001,0.001,20NM
286,G5_rep,0,0.001,0.031,0.116,0.633,0.695,0.216,0.312,0,0.071,0.664,0.265,28NM
287,G50,0.092,0.14,0.86,0.908,0,0.001,0,0.001,0.115,0.885,0,0,20NM
288,G52,0,0.021,0.667,0.771,0,0.001,0.223,0.33,0.004,0.72,0,0.276,20NM
289,G53,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,18TX
290,G54,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,18TX
291,G55,0,0.001,0.991,1,0,0.008,0,0.001,0,0.999,0.001,0,18TX
292,G56,0,0.001,0.996,1,0,0.001,0,0.002,0,0.999,0,0,18TX
293,G57,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
294,G58,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
295,G59,0.994,1,0,0.002,0,0.002,0,0.001,0.999,0,0,0,16TX
296,G6,0,0.001,0.815,0.897,0,0.001,0.103,0.185,0,0.858,0,0.142,28NM
297,G60,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
